Custid,Rcn,Frq,Mnt,Clothes,Kitchen,SmallAppliances,HouseKeeping,Toys,NetPurchase,StorePurchase,Recomendation,Credit_Card
1003,69,11,45.76,32,19,24,1,24,59,41,3,
1004,10,26,923.52,60,10,19,6,5,35,65,5,
1006,65,14,58.24,47,2,48,2,1,67,33,4,
1007,73,18,358.8,71,7,13,1,8,46,54,4,
1009,75,30,1457.04,38,9,35,9,9,17,83,5,Yes
1010,153,8,19.76,18,55,17,10,1,39,61,4,
1017,37,5,16.64,6,28,35,28,3,51,49,1,
1019,52,8,37.44,19,17,28,23,12,50,50,3,
1022,4,12,122.72,5,29,16,12,38,57,43,3,
1024,59,18,316.16,67,4,23,3,4,60,40,2,
1025,14,33,1658.8,35,5,39,10,11,12,88,4,
1034,21,8,48.88,20,14,39,16,11,62,38,3,
1036,55,10,65.52,64,1,31,2,2,57,43,3,
1038,87,16,462.8,53,2,37,4,3,38,62,4,
1041,65,14,156,6,28,27,17,22,60,40,4,
1051,47,6,26,84,1,13,1,1,41,59,4,
1054,41,15,309.92,75,2,17,2,3,54,46,4,
1058,99,11,126.88,12,7,50,19,12,55,45,5,No
1061,6,29,1331.2,41,2,49,4,4,17,83,4,
1067,83,15,194.48,74,3,17,2,5,64,36,2,
1070,45,33,1598.48,57,7,18,7,11,14,86,5,
1074,73,9,65.52,37,2,51,6,3,57,43,4,
1075,26,30,1261.52,42,11,41,5,2,25,75,6,
1076,86,12,153.92,,1,27,3,1,54,46,3,
1089,59,13,122.72,81,2,15,1,1,60,40,2,
1091,85,15,229.84,66,6,21,6,1,54,46,3,
1094,8,21,624,91,0,8,0,1,44,56,5,
1095,12,10,41.6,61,2,34,1,2,65,35,3,
1097,75,8,58.24,71,3,21,1,4,44,56,2,
1098,70,9,43.68,59,5,26,9,1,67,33,4,
1099,1,10,49.92,66,1,26,1,6,64,36,3,
1102,29,21,811.2,24,12,42,18,4,23,77,2,
1104,71,25,988,39,1,35,13,12,28,72,2,
1108,12,10,35.36,10,32,37,2,20,64,36,2,
1109,19,14,188.24,62,8,17,7,7,37,63,4,
1112,77,8,76.96,81,1,17,0,1,54,46,5,
1114,373,7,20.8,19,16,47,2,16,59,41,4,
1117,310,6,19.76,80,0,12,5,3,50,50,4,
1120,11,9,43.68,60,1,33,3,4,63,37,2,
1123,1,33,1335.36,54,0,32,6,7,27,73,6,
1124,28,36,1399.84,82,5,12,1,1,47,53,5,
1128,8,25,1055.6,15,13,34,25,13,19,81,3,
1129,37,10,66.56,81,4,11,0,3,57,43,3,
1137,83,28,1190.8,51,3,27,0,19,20,80,4,
1138,92,12,43.68,32,15,36,5,12,88,12,4,
1139,64,28,1067.04,60,7,23,2,8,26,74,4,
1143,21,7,65.52,83,1,15,1,0,42,58,3,
1151,55,28,858,49,7,36,0,7,56,44,5,
1153,68,23,1000.48,36,6,27,10,21,12,88,2,
1155,51,18,264.16,61,8,26,0,5,63,37,4,
1156,29,13,56.16,33,14,30,13,11,78,22,3,
1159,11,10,124.8,70,3,21,3,3,46,54,5,
1161,72,21,559.52,94,0,5,0,0,47,53,4,
1163,84,32,1470.56,24,27,36,11,2,20,80,4,
1167,89,10,66.56,82,2,14,1,0,54,46,4,
1174,47,22,794.56,34,3,50,6,6,25,75,3,
1175,44,10,55.12,47,3,44,3,3,48,52,3,
1177,12,22,513.76,87,1,10,1,1,61,39,3,
1182,11,10,35.36,,11,13,32,37,73,27,5,
1188,33,25,798.72,83,0,14,2,1,41,59,5,
1189,89,7,48.88,22,23,10,15,30,40,60,2,
1190,21,29,923.52,90,0,9,0,0,57,43,4,
1193,62,18,515.84,41,15,29,12,2,29,71,5,
1197,81,8,123.76,82,1,16,1,0,46,54,4,Yes
1204,11,19,360.88,68,0,28,3,1,61,39,4,Yes
1208,98,15,351.52,21,14,17,15,33,44,56,2,
1209,55,33,1257.36,95,0,5,0,0,36,64,6,
1216,96,14,121.68,22,16,39,3,20,50,50,4,
1220,55,22,867.36,54,13,28,2,3,23,77,4,
1221,88,26,1186.64,25,7,54,9,5,10,90,5,
1223,99,10,66.56,37,19,32,6,6,71,29,2,
1226,12,41,2059.2,26,11,37,16,10,15,85,4,
1231,30,31,1258.4,76,0,22,1,1,36,64,4,
1235,14,18,450.32,82,0,16,1,1,48,52,3,
1241,36,24,859.04,37,15,31,11,6,30,70,3,
1250,84,11,42.64,15,1,31,15,38,66,34,5,
1253,25,30,1397.76,30,4,55,5,6,20,80,5,
1263,45,24,920.4,26,17,37,8,13,25,75,2,
1267,25,11,45.76,11,28,25,5,31,70,30,4,
1275,21,39,2060.24,35,8,41,5,12,12,88,4,
1280,83,16,267.28,69,0,25,3,3,62,38,3,
1283,13,14,194.48,91,0,8,0,1,65,35,2,
1285,50,16,270.4,83,1,14,1,1,54,46,3,
1290,41,23,806,29,20,20,19,12,31,69,5,
1299,50,13,52,41,5,47,5,3,65,35,4,
1303,13,14,360.88,47,14,26,0,13,27,73,5,
1307,10,25,803.92,,2,25,14,1,40,60,2,
1313,55,35,1797.12,57,3,25,8,7,10,90,6,
1317,49,22,671.84,48,15,25,5,7,30,70,3,
1328,23,9,33.28,28,13,16,35,8,43,57,2,
1329,5,32,1319.76,71,2,23,0,3,39,61,4,
1343,196,4,18.72,37,11,18,18,16,39,61,3,No
1344,49,12,48.88,48,6,39,2,5,71,29,4,
1345,79,35,1393.6,93,1,5,0,1,48,52,5,
1349,39,15,154.96,87,1,11,1,1,72,28,3,
1350,55,11,94.64,69,1,25,3,2,58,42,4,
1351,42,21,504.4,36,16,42,1,5,55,45,5,
1358,34,27,991.12,78,2,19,1,0,31,69,4,
1361,29,16,501.28,51,4,26,6,14,31,69,3,
1363,438,9,18.72,64,2,29,3,2,74,26,3,
1369,29,36,1794,7,36,52,4,2,17,83,5,
1370,32,13,98.8,21,6,52,6,15,58,42,3,
1371,196,8,19.76,43,16,29,10,2,45,55,2,
1375,54,13,76.96,20,5,40,12,23,74,26,2,
1380,45,9,188.24,38,16,22,7,17,28,72,3,
1382,73,24,629.2,82,1,15,1,1,61,39,5,
1384,52,15,412.88,34,12,25,3,25,33,67,3,
1385,26,13,121.68,62,1,29,6,2,59,41,3,
1388,89,29,1261.52,77,2,19,1,2,31,69,6,
1393,13,5,41.6,36,6,34,20,4,44,56,1,
1394,6,32,1523.6,57,5,26,6,5,19,81,6,
1395,91,21,871.52,16,24,39,14,7,14,86,2,
1400,1,10,35.36,6,30,32,3,29,74,26,2,
1401,95,32,1334.32,74,5,15,2,4,30,70,4,
1402,24,10,29.12,48,0,45,3,4,69,31,4,
1406,53,20,734.24,36,5,49,6,4,23,77,3,
1410,34,27,1057.68,53,5,30,11,0,29,71,6,
1415,16,43,2253.68,57,1,34,2,6,18,82,5,
1416,16,42,2188.16,85,1,11,1,2,24,76,4,
1432,69,31,1458.08,40,20,20,8,12,33,67,6,
1440,46,9,71.76,52,6,25,8,9,51,49,3,
1441,66,22,855.92,33,4,44,9,10,19,81,4,
1443,38,11,121.68,91,1,7,1,1,39,61,3,
1450,11,15,225.68,73,3,21,3,1,43,57,4,
1451,63,8,34.32,29,5,32,21,13,28,72,4,
1458,87,32,1460.16,45,2,35,16,1,21,79,5,
1460,9,22,688.48,54,13,16,16,0,33,67,5,
1461,43,4,26,19,18,19,23,21,33,67,4,
1467,10,33,1454.96,57,11,21,4,7,37,63,6,
1471,29,42,2186.08,64,3,29,0,3,13,87,6,
1472,79,36,1726.4,36,10,36,8,10,16,84,5,
1479,64,11,76.96,27,22,37,12,2,33,67,4,
1486,32,32,1525.68,60,4,27,5,4,15,85,6,
1514,65,5,16.64,31,8,37,24,0,43,57,4,
1523,94,31,1131.52,50,8,28,9,5,57,43,4,
1526,49,26,684.32,54,7,26,10,4,69,31,4,
1528,27,39,1658.8,61,8,16,6,9,40,60,4,
1529,35,38,1796.08,54,1,23,8,14,19,81,5,
1532,60,36,1791.92,68,8,15,1,8,15,85,5,
1533,21,16,459.68,71,1,22,2,4,31,69,2,
1536,26,19,410.8,62,7,29,1,1,49,51,4,
1538,39,30,1197.04,74,3,19,2,2,39,61,5,No
1539,65,17,231.92,17,21,16,21,24,67,33,3,
1545,33,9,57.2,31,7,28,20,14,52,48,4,
1548,549,8,20.8,6,25,18,29,22,63,37,3,
1549,77,11,158.08,69,0,26,2,3,41,59,2,
1553,26,27,989.04,42,3,29,14,12,28,72,5,
1555,56,11,65.52,41,10,41,7,1,67,33,2,
1556,64,46,2122.64,67,2,27,2,2,34,66,5,
1570,95,18,406.64,81,2,12,3,3,45,55,4,
1582,24,14,72.8,,26,21,16,32,68,32,4,
1584,99,46,2508.48,58,3,33,0,5,8,92,4,
1588,80,23,567.84,93,0,6,1,0,70,30,4,
1589,90,26,1059.76,38,4,43,10,6,38,62,5,
1598,16,21,678.08,47,8,36,2,7,31,69,2,
1608,71,44,2185.04,46,8,32,9,5,17,83,6,
1625,64,23,672.88,74,0,24,1,1,36,64,3,
1626,136,8,14.56,33,12,47,8,0,62,38,4,
1627,92,30,990.08,90,0,8,1,1,42,58,5,
1640,32,11,43.68,30,10,53,1,7,77,23,3,
1646,57,34,1597.44,42,3,39,7,10,21,79,5,
1650,52,10,41.6,60,4,26,5,5,59,41,4,
1652,323,9,13.52,19,5,55,6,15,69,31,3,
1665,12,8,19.76,12,26,13,35,14,46,54,2,
1666,1,25,922.48,66,3,26,1,4,26,74,2,
1669,62,11,33.28,13,4,45,16,21,62,38,3,
1671,65,23,563.68,60,0,37,2,1,57,43,5,
1673,62,37,1796.08,26,32,35,3,4,21,79,4,
1675,76,44,2318.16,27,5,59,3,6,16,84,5,
1676,26,21,508.56,67,3,27,1,2,46,54,3,
1677,71,26,1134.64,42,20,27,2,9,16,84,5,
1678,98,32,1323.92,69,1,27,2,1,37,63,5,
1679,138,5,14.56,37,7,30,24,3,23,77,2,
1686,34,19,351.52,77,6,15,1,1,63,37,4,
1691,74,41,1929.2,39,16,23,16,6,20,80,4,
1697,71,9,72.8,76,2,18,2,2,43,57,4,
1698,68,23,686.4,43,17,23,6,11,44,56,4,
1700,23,17,503.36,46,8,37,6,4,31,69,5,
1701,14,21,462.8,90,1,8,1,0,66,34,5,Yes
1703,47,40,1858.48,59,3,21,11,6,22,78,5,
1716,71,9,58.24,15,35,34,8,8,47,53,3,
1719,98,22,683.28,82,2,14,2,1,36,64,4,
1720,96,10,40.56,23,6,41,1,28,60,40,3,
1721,31,11,123.76,39,6,50,1,4,55,45,2,
1724,15,12,231.92,55,12,30,2,1,45,55,4,
1737,28,27,862.16,89,1,9,1,1,48,52,6,
1740,379,10,12.48,41,2,40,11,6,66,34,5,
1741,34,5,41.6,59,2,22,12,5,27,73,4,
1744,100,30,1192.88,80,1,17,0,2,42,58,5,
1747,23,12,35.36,44,7,32,7,10,75,25,2,
1748,340,10,20.8,54,1,42,0,3,66,34,4,
1749,52,9,36.4,38,11,24,13,14,56,44,3,
1753,68,16,313.04,86,1,12,1,1,47,53,3,
1756,461,9,14.56,40,16,26,16,2,55,45,3,
1759,12,40,2062.32,21,1,52,1,24,10,90,6,
1761,73,7,68.64,80,4,12,4,1,35,65,2,
1767,53,10,50.96,43,2,42,12,0,72,28,5,
1771,82,12,93.6,79,2,18,0,1,52,48,4,
1791,71,39,2059.2,30,6,42,12,10,8,92,6,
1793,42,18,359.84,93,1,6,0,0,59,41,3,
1796,44,25,1063.92,31,0,26,41,2,21,79,2,
1798,22,31,1258.4,43,4,40,3,10,29,71,5,
1801,283,6,17.68,80,3,12,3,3,53,47,2,
1802,20,10,33.28,61,3,31,2,3,61,39,4,
1805,39,27,1257.36,17,17,35,20,11,12,88,4,
